Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
38,tt1133985,2017-08-25,2017-08-25,,Green Lantern,https://www.imdb.com/title/tt1133985/,movie,5.5,114,2011,"Action, Adventure, Sci-Fi",247368,2011-06-14,Martin Campbell
39,tt1345836,2017-08-25,2017-08-25,,The Dark Knight Rises,https://www.imdb.com/title/tt1345836/,movie,8.4,164,2012,"Action, Thriller",1345149,2012-07-16,Christopher Nolan
40,tt0770828,2017-08-25,2017-08-25,,Man of Steel,https://www.imdb.com/title/tt0770828/,movie,7.1,143,2013,"Action, Adventure, Fantasy, Sci-Fi",628403,2013-06-10,Zack Snyder
41,tt1821694,2017-08-25,2017-08-25,,RED 2,https://www.imdb.com/title/tt1821694/,movie,6.6,116,2013,"Action, Comedy, Crime, Thriller",144971,2013-07-18,Dean Parisot
42,tt2975590,2017-08-25,2017-08-25,,Batman v Superman: Dawn of Justice,https://www.imdb.com/title/tt2975590/,movie,6.5,151,2016,"Action, Adventure, Fantasy, Sci-Fi",553464,2016-03-12,Zack Snyder
43,tt1386697,2017-08-25,2017-08-25,,Suicide Squad,https://www.imdb.com/title/tt1386697/,movie,6.1,123,2016,"Action, Adventure, Fantasy, Sci-Fi",504890,2016-08-01,David Ayer
44,tt4116284,2017-08-25,2017-08-25,,The Lego Batman Movie,https://www.imdb.com/title/tt4116284/,movie,7.3,104,2017,"Animation, Action, Comedy, Family",106892,2017-02-01,Chris McKay
45,tt0451279,2017-08-25,2017-08-25,,Wonder Woman,https://www.imdb.com/title/tt0451279/,movie,7.5,141,2017,"Action, Adventure, Fantasy, Sci-Fi, War",450476,2017-05-15,Patty Jenkins
46,tt0974015,2017-08-25,2017-08-25,,Justice League,https://www.imdb.com/title/tt0974015/,movie,6.5,120,2017,"Action, Adventure, Fantasy, Sci-Fi",296886,2017-10-26,Zack Snyder
47,tt1477834,2017-08-25,2017-08-25,,Aquaman,https://www.imdb.com/title/tt1477834/,movie,8.3,143,2018,"Action, Adventure, Fantasy, Sci-Fi",2617,2018-11-26,James Wan
48,tt0448115,2017-08-25,2017-08-25,,Shazam!,https://www.imdb.com/title/tt0448115/,movie,,,2019,"Action, Adventure, Fantasy, Sci-Fi",,2019-04-03,David F. Sandberg
49,tt7126948,2017-08-25,2017-08-25,,Wonder Woman 1984,https://www.imdb.com/title/tt7126948/,movie,,,2020,"Action, Adventure, Fantasy",,2020-06-04,Patty Jenkins
50,tt4123436,2017-08-25,2017-08-25,,Cyborg,https://www.imdb.com/title/tt4123436/,movie,,,2020,"Action, Adventure, Sci-Fi",,2020-04-03,
51,tt4120636,2017-08-25,2017-08-25,,Green Lantern Corps,https://www.imdb.com/title/tt4120636/,movie,,,2020,"Action, Adventure, Sci-Fi",,2020-07-24,
